company_name,sponsor_website,sponsor_ID
ExxonMobil,gnjps.app,1
Boeing,nb44i.name,2
Comcast,xtwt3.net,3
Boeing,xqj6f.org,4
Telekom,ag5wi.mobi,5
Facebook,cke3u.us,6
Comodo,c2nyu.website,7
Facebook,1kmd3.info,8
Metro Cash&Carry,bqkv0.app,9
DynCorp,d9un8.software,10
Demaco,cke3u.meet,11
Vodafone,jcf8v.works,12
Areon Impex,voylg.catering,13
It Smart Group,jcf8v.name,14
It Smart Group,yahoo.works,15
DynCorp,3wbkp.catering,16
Areon Impex,1kmd3.info,17
Zepter,ckzyi.tech,18
Carrefour,qu9ml.name,19
Areon Impex,6ijur.services,20
BuzzFeed,nb44i.media,21
BuzzFeed,ag5wi.info,22
Danone,hepmv.ca,23
Apple Inc.,p5emz.digital,24
Team Guard SRL,gkvds.services,25
Biolife Grup,chkzl.net,26
Amazon.com,d9un8.shop,27
Vodafone,jh02o.net,28
Demaco,jh02o.website,29
Comodo,dvqq2.auction,30
21st Century Fox,lhp4j.zone,31
Comodo,ag5wi.club,32
UPC,ag5wi.directory,33
Comodo,urn0m.host,34
ENEL,d9un8.biz,35
Team Guard SRL,nanoff.zone,36
Boeing,nmz0p.autos,37
Apple Inc.,uagvw.org,38
AECOM,ds59r.zone,39
DynCorp,ag5wi.online,40
Telekom,uagvw.store,41
Zepter,qu9ml.auction,42
Erickson,cdpfn.mobi,43
Biolife Grup,xtwt3.club,44
Facebook,jh02o.org,45
Metro Cash&Carry,1wa8o.works,46
AECOM,hepmv.shop,47
BuzzFeed,cke3u.audio,48
Team Guard SRL,1kmd3.host,49
Boeing,y96lx.mobi,50
AECOM,c2nyu.name,51
Demaco,hepmv.net,52
Facebook,p5emz.property,53
ENEL,jh02o.online,54
Carrefour,v1wn5.video,55
Erickson,c2nyu.info,56
CarMax,qu9ml.org,57
Metro Cash&Carry,crzq7.org,58
Comodo,dbxli.press,59
Biolife Grup,y96lx.biz,60
DynCorp,iaart.autos,61
CarMax,qu9ml.solutions,62
21st Century Fox,cdpfn.solutions,63
Team Guard SRL,p5emz.digital,64
ExxonMobil,ohqqh.autos,65
Areon Impex,1wa8o.business,66
Global Print,jh02o.store,67
Mars,jh02o.ca,68
Mars,qu9ml.pro,69
It Smart Group,nanoff.audio,70
Boeing,uagvw.info,71
Erickson,bu2lo.video,72
DynCorp,xtwt3.app,73
Amazon.com,ohqqh.edu,74
Mars,lyvnc.video,75
Boeing,ds59r.store,76
Erickson,xtwt3.business,77
BuzzFeed,crzq7.tech,78
Amazon.com,uagvw.mobi,79
Danone,yafr7.directory,80
Danone,xtwt3.website,81
ExxonMobil,3wbkp.net,82
Boeing,nmz0p.center,83
Team Guard SRL,cdpfn.net,84
DynCorp,3wbkp.com,85
Zepter,evyvh.site,86
Carrefour,1kmd3.ca,87
Carrefour,zynuu.online,88
Facebook,bcfhs.zone,89
UPC,kyb7t.page,90
Mars,urn0m.space,91
It Smart Group,jcf8v.business,92
Amazon.com,yfxpw.solutions,93
Facebook,evyvh.app,94
Boeing,xtwt3.business,95
Global Print,uagvw.directory,96
Amazon.com,cke3u.digital,97
Demaco,evyvh.store,98
AECOM,yvu30.store,99
Vodafone,xtwt3.online,100
Areon Impex,3wbkp.us,101
Boeing,6ijur.center,102
ExxonMobil,ds59r.edu,103
DynCorp,jcf8v.site,104
Biolife Grup,hepmv.catering,105
Global Print,v1wn5.auction,106
ENEL,kyb7t.catering,107
Zepter,d9un8.info,108
Leadertech Consulting,voylg.zone,109
Demaco,bu2lo.com,110
Facebook,bqkv0.services,111
Comodo,urn0m.audio,112
Comodo,lhp4j.audio,113
Leadertech Consulting,nanoff.online,114
UPC,qu9ml.video,115
Areon Impex,bcfhs.website,116
Comcast,v1wn5.software,117
Leadertech Consulting,dbxli.zone,118
UPC,yahoo.meet,119
Amazon.com,ag5wi.works,120
Zepter,cke3u.name,121
Mars,cdpfn.us,122
Vodafone,y96lx.tech,123
21st Century Fox,v1wn5.club,124
Carrefour,karnv.org,125
AECOM,v1wn5.property,126
DynCorp,d9un8.info,127
Danone,avn7d.online,128
CarMax,dvqq2.host,129
Danone,d9un8.ca,130
BuzzFeed,voylg.zone,131
Comcast,jh02o.store,132
Comcast,urn0m.business,133
Global Print,p5emz.center,134
Amazon.com,dvqq2.directory,135
Leadertech Consulting,iaart.org,136
Boeing,bcfhs.name,137
21st Century Fox,qu9ml.tech,138
Carrefour,d9un8.digital,139
Biolife Grup,dbxli.business,140
It Smart Group,xtwt3.business,141
Vodafone,3wbkp.design,142
Leadertech Consulting,fhuux.digital,143
Demaco,xtwt3.media,144
AECOM,chkzl.services,145
ExxonMobil,cke3u.digital,146
Metro Cash&Carry,xqj6f.net,147
Comodo,ag5wi.mobi,148
ENEL,ds59r.site,149
Coca-Cola Company,iscmr.store,150

